name,otherNames,capabilities,timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,atobviacCode,dataloyCode,location.country,location.lat,location.lon,location.kind,kind
Swinoujscie,,DISCHARGE,Europe/Warsaw,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Taichung,,DISCHARGE,Asia/Taipei,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Tangguh,,LOAD,Asia/Jakarta,24,24,23.21,7,false,24,,,,0.0,0.0,Location,Port
Teeside,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Tenerife,,DRYDOCK,Europe/Madrid,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Tobata,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Tongyeong,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Wilhelmshaven,,"DISCHARGE,DRYDOCK",Europe/Berlin,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Yanai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Yokkaichi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Yokohama,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Yung An,,DISCHARGE,Asia/Taipei,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
Zeebrugge,,"DISCHARGE,LOAD",Europe/Brussels,24,24,22.8,7,false,24,,,,0.0,0.0,Location,Port
