uuid,name,otherNames,capabilities,timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,portCode,location.country,location.lat,location.lon,location.kind,kind
_v3GCtKMaEeGZW52HURim3w,Marmara Ereglisi,,"DISCHARGE,DRYDOCK",Europe/Istanbul,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ2KMaEeGZW52HURim3w,Marsa el Brega,,LOAD,Africa/Tripoli,24,24,22.92,7,false,24,,,0.0,0.0,Location,Port
_v3BxRaMaEeGZW52HURim3w,Mejillones,,DISCHARGE,America/Santiago,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ26MaEeGZW52HURim3w,Melkoya Is,Melkoya,LOAD,Europe/Oslo,24,24,23.67,7,false,24,,,0.0,0.0,Location,Port
_L_4BfqS_EeGySdElvuopWw,Mina Al-Ahmadi,Mina al Ahmadi,"DISCHARGE,DRYDOCK",Asia/Kuwait,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENgaMaEeGZW52HURim3w,Mizushima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3C_ZKMaEeGZW52HURim3w,Montoir,,"DISCHARGE,DRYDOCK",Europe/Paris,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENgqMaEeGZW52HURim3w,Nagasaki,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENg6MaEeGZW52HURim3w,Negishi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpxaMaEeGZW52HURim3w,Neptune,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENhKMaEeGZW52HURim3w,Niigata,Higashi Niigata,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GCuqMaEeGZW52HURim3w,North East Gateway,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENhaMaEeGZW52HURim3w,Oita,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENhqMaEeGZW52HURim3w,Osaka,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ3aMaEeGZW52HURim3w,Pampa Melchorita,,LOAD,America/Lima,24,24,23.16,7,false,24,,,0.0,0.0,Location,Port
_v3DmdKMaEeGZW52HURim3w,Panigaglia,,DISCHARGE,Europe/Rome,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3Gpw6MaEeGZW52HURim3w,Pascagoula,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3BKNqMaEeGZW52HURim3w,Pecem,,DISCHARGE,America/Fortaleza,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_L_4BhqS_EeGySdElvuopWw,Panuelas,Penuelas,DISCHARGE,America/Puerto_Rico,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpzqMaEeGZW52HURim3w,Pluto,,LOAD,Australia/Perth,24,24,23.9,7,false,24,,,0.0,0.0,Location,Port
_v3H356MaEeGZW52HURim3w,Point Fortin,,LOAD,America/Port_of_Spain,24,24,22.53,7,false,24,,,0.0,0.0,Location,Port
_v3Gpx6MaEeGZW52HURim3w,Port Arthur,,DISCHARGE,America/Chicago,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpxqMaEeGZW52HURim3w,Port Dolphin,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3H34KMaEeGZW52HURim3w,Port Moresby,,LOAD,Pacific/Port_Moresby,24,24,23.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0naMaEeGZW52HURim3w,Pyeongtaek,"Pyeongteak,Pyeongtaek/Tongyeong","DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ3KMaEeGZW52HURim3w,Qalhat,,LOAD,Asia/Muscat,24,24,24.01,7,false,24,,,0.0,0.0,Location,Port
_v3BxQqMaEeGZW52HURim3w,Quebec,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3BxRKMaEeGZW52HURim3w,Quintero,,DISCHARGE,America/Santiago,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3H346MaEeGZW52HURim3w,Ras Laffan,,LOAD,Asia/Qatar,24,24,23.87,7,false,24,,,0.0,0.0,Location,Port
_v3C_ZqMaEeGZW52HURim3w,Revithoussa,Revithousa,"DISCHARGE,DRYDOCK",Europe/Athens,24,24,30.0,7,false,24,,,0.0,0.0,Location,Port
_v3DmdaMaEeGZW52HURim3w,Rovigo,,"DISCHARGE,DRYDOCK",Europe/Rome,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpwaMaEeGZW52HURim3w,Sabine Pass,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3FbraMaEeGZW52HURim3w,Sagunto,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENh6MaEeGZW52HURim3w,Sakai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3H34aMaEeGZW52HURim3w,Sakhalin II,Sakhalin,LOAD,Asia/Sakhalin,24,24,23.57,7,false,24,,,0.0,0.0,Location,Port
_v3ENiKMaEeGZW52HURim3w,Senboku,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENiaMaEeGZW52HURim3w,Sendai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3CYUqMaEeGZW52HURim3w,Shanghai,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENi6MaEeGZW52HURim3w,Shimizu,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENiqMaEeGZW52HURim3w,Shin-minato,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3H34qMaEeGZW52HURim3w,Shtokman,,LOAD,Europe/Moscow,24,24,23.69,7,false,24,,,0.0,0.0,Location,Port
_v3Fbp6MaEeGZW52HURim3w,Sines,,"DISCHARGE,DRYDOCK,LOAD",Europe/Lisbon,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3AjIKMaEeGZW52HURim3w,Singapore,,"DISCHARGE,DRYDOCK,LOAD",Asia/Singapore,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpyaMaEeGZW52HURim3w,Skikda,,LOAD,Africa/Algiers,24,24,23.15,7,false,24,,,0.0,0.0,Location,Port
_v3ENjKMaEeGZW52HURim3w,Sodegaura,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GCuKMaEeGZW52HURim3w,South Hook,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GpyqMaEeGZW52HURim3w,Soyo,,LOAD,Africa/Luanda,24,24,23.69,7,false,24,,,0.0,0.0,Location,Port
_v3FbpqMaEeGZW52HURim3w,Swinoujscie,,DISCHARGE,Europe/Warsaw,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GCsqMaEeGZW52HURim3w,Taichung,,DISCHARGE,Asia/Taipei,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3HQ1qMaEeGZW52HURim3w,Tangguh,,LOAD,Asia/Jakarta,24,24,23.21,7,false,24,,,0.0,0.0,Location,Port
_v3GCuaMaEeGZW52HURim3w,Teeside,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3AjIqMaEeGZW52HURim3w,Tenerife,,DRYDOCK,Europe/Madrid,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3ENjaMaEeGZW52HURim3w,Tobata,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0nqMaEeGZW52HURim3w,Tongyeong,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3C_ZaMaEeGZW52HURim3w,Wilhelmshaven,,"DISCHARGE,DRYDOCK",Europe/Berlin,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0kKMaEeGZW52HURim3w,Yanai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0kaMaEeGZW52HURim3w,Yokkaichi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3E0kqMaEeGZW52HURim3w,Yokohama,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3GCsaMaEeGZW52HURim3w,Yung An,,DISCHARGE,Asia/Taipei,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
_v3BKNaMaEeGZW52HURim3w,Zeebrugge,,"DISCHARGE,LOAD",Europe/Brussels,24,24,22.8,7,false,24,,,0.0,0.0,Location,Port
