name,location.name,location.otherNames,capabilities,location.timeZone,loadDuration,dischargeDuration,cvValue,defaultStartTime,allowCooldown,defaultWindowSize,location.country,location.lat,location.lon,location.kind,kind,location.mmxId
Kitimat,Kitimat,,LOAD,America/Vancouver,24,24,23.53,7,false,24,Canada,0.0,0.0,Location,Port,L_CA_Kitim
Kochi,Kochi,,DISCHARGE,Etc/GMT+5,24,24,22.8,7,false,24,India,0.0,0.0,Location,Port,L_IN_Kochi
Krk Island,Krk Island,Krk Is,DISCHARGE,Europe/Zagreb,24,24,22.8,7,false,24,Croatia,0.0,0.0,Location,Port,L_HR_KrkIs
Lake Charles,Lake Charles,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_LakeC
Livorno,Livorno,,DISCHARGE,Europe/Rome,24,24,22.8,7,false,24,Italy,0.0,0.0,Location,Port,L_IT_Livor
Lumut,Lumut,,LOAD,Asia/Brunei,24,24,23.95,7,false,24,Brunei Darussalam,0.0,0.0,Location,Port,L_BN_Lumut
Manzanillo,Manzanillo,,DISCHARGE,America/Mexico_City,24,24,22.8,7,false,24,Mexico,0.0,0.0,Location,Port,L_MX_Manza
Map Ta Phut,Map Ta Phut,,DISCHARGE,Asia/Bangkok,24,24,22.8,7,false,24,Thailand,0.0,0.0,Location,Port,L_TH_MapTa
Marmara Ereglisi,Marmara Ereglisi,,"DISCHARGE,DRYDOCK",Europe/Istanbul,24,24,22.8,7,false,24,Turkey,0.0,0.0,Location,Port,L_TR_Marma
Marsa el Brega,Marsa el Brega,,LOAD,Africa/Tripoli,24,24,22.92,7,false,24,Libya,0.0,0.0,Location,Port,L_LY_Marsa
Mejillones,Mejillones,,DISCHARGE,America/Santiago,24,24,22.8,7,false,24,Chile,0.0,0.0,Location,Port,L_CL_Mejil
Melkoya Is,Melkoya Is,Melkoya,LOAD,Europe/Oslo,24,24,23.67,7,false,24,Norway,0.0,0.0,Location,Port,L_NO_Hamme
Mina Al-Ahmadi,Mina Al-Ahmadi,Mina al Ahmadi,"DISCHARGE,DRYDOCK",Asia/Kuwait,24,24,22.8,7,false,24,Kuwait,0.0,0.0,Location,Port,L_KW_MinaA
Mizushima,Mizushima,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Mizus
Montoir,Montoir,,"DISCHARGE,DRYDOCK",Europe/Paris,24,24,22.8,7,false,24,France,0.0,0.0,Location,Port,L_FR_Monto
Nagasaki,Nagasaki,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Nagas
Negishi,Negishi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Negis
Neptune,Neptune,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,United States Minor Outlying Islands,0.0,0.0,Location,Port,L_UM_Neptu
Niigata,Niigata,Higashi Niigata,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,,0.0,0.0,Location,Port,
North East Gateway,North East Gateway,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,United States Minor Outlying Islands,0.0,0.0,Location,Port,L_UM_North
Oita,Oita,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Oita
Osaka,Osaka,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Osaka
Pampa Melchorita,Pampa Melchorita,,LOAD,America/Lima,24,24,23.16,7,false,24,Peru,0.0,0.0,Location,Port,L_PE_Pampa
Panigaglia,Panigaglia,,DISCHARGE,Europe/Rome,24,24,22.8,7,false,24,Italy,0.0,0.0,Location,Port,L_IT_Panig
Pascagoula,Pascagoula,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_Pasca
Pecem,Pecem,,DISCHARGE,America/Fortaleza,24,24,22.8,7,false,24,Brazil,0.0,0.0,Location,Port,L_BR_Pecem
Panuelas,Panuelas,Penuelas,DISCHARGE,America/Puerto_Rico,24,24,22.8,7,false,24,Puerto Rico,0.0,0.0,Location,Port,L_PR_Penue
Pluto,Pluto,,LOAD,Australia/Perth,24,24,23.9,7,false,24,Australia,0.0,0.0,Location,Port,L_AU_Pluto
Point Fortin,Point Fortin,,LOAD,America/Port_of_Spain,24,24,22.53,7,false,24,Trinidad and Tobago,0.0,0.0,Location,Port,L_TT_Point2
Port Arthur,Port Arthur,,DISCHARGE,America/Chicago,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_PortA
Port Dolphin,Port Dolphin,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_PortD
Port Moresby,Port Moresby,,LOAD,Pacific/Port_Moresby,24,24,23.8,7,false,24,Papua New Guinea,0.0,0.0,Location,Port,L_PG_PortM
Pyeongtaek,Pyeongtaek,"Pyeongteak,Pyeongtaek/Tongyeong","DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,South Korea,0.0,0.0,Location,Port,L_KR_Pyeon
Qalhat,Qalhat,,LOAD,Asia/Muscat,24,24,24.01,7,false,24,Oman,0.0,0.0,Location,Port,L_OM_Qalha
Quebec,Quebec,,DISCHARGE,America/New_York,24,24,22.8,7,false,24,Canada,0.0,0.0,Location,Port,L_CA_Quebe
Quintero,Quintero,,DISCHARGE,America/Santiago,24,24,22.8,7,false,24,Chile,0.0,0.0,Location,Port,L_CL_Quint
Ras Laffan,Ras Laffan,,LOAD,Asia/Qatar,24,24,23.87,7,false,24,Qatar,0.0,0.0,Location,Port,L_QA_RasLa
Revithoussa,Revithoussa,Revithousa,"DISCHARGE,DRYDOCK",Europe/Athens,24,24,30.0,7,false,24,Greece,0.0,0.0,Location,Port,L_GR_Revit
Rovigo,Rovigo,,"DISCHARGE,DRYDOCK",Europe/Rome,24,24,22.8,7,false,24,Italy,0.0,0.0,Location,Port,L_IT_Rovig
Sabine Pass,Sabine Pass,,"DISCHARGE,LOAD",America/Chicago,24,24,22.8,7,false,24,United States,0.0,0.0,Location,Port,L_US_Sabin
Sagunto,Sagunto,,"DISCHARGE,DRYDOCK,LOAD",Europe/Madrid,24,24,22.8,7,false,24,Spain,0.0,0.0,Location,Port,L_ES_Sagun
Sakai,Sakai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Sakai
Sakhalin II,Sakhalin II,Sakhalin,LOAD,Asia/Sakhalin,24,24,23.57,7,false,24,Russian Federation,0.0,0.0,Location,Port,L_RU_Sakha
Senboku,Senboku,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Senbo
Sendai,Sendai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Senda
Shanghai,Shanghai,,"DISCHARGE,DRYDOCK",Asia/Shanghai,24,24,22.8,7,false,24,China,0.0,0.0,Location,Port,L_CN_Shang
Shimizu,Shimizu,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Shimi
Shin-minato,Shin-minato,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Shinm
Shtokman,Shtokman,,LOAD,Europe/Moscow,24,24,23.69,7,false,24,Russian Federation,0.0,0.0,Location,Port,L_RU_Shtok
Sines,Sines,,"DISCHARGE,DRYDOCK,LOAD",Europe/Lisbon,24,24,22.8,7,false,24,Portugal,0.0,0.0,Location,Port,L_PT_Sines
Singapore,Singapore,,"DISCHARGE,DRYDOCK,LOAD",Asia/Singapore,24,24,22.8,7,false,24,Singapore,0.0,0.0,Location,Port,L_SG_Juron
Skikda,Skikda,,LOAD,Africa/Algiers,24,24,23.15,7,false,24,Algeria,0.0,0.0,Location,Port,L_DZ_Skikd
Sodegaura,Sodegaura,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Sodeg
South Hook,South Hook,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,United Kingdom,0.0,0.0,Location,Port,L_GB_South
Soyo,Soyo,,LOAD,Africa/Luanda,24,24,23.69,7,false,24,Angola,0.0,0.0,Location,Port,L_AO_Soyo
Swinoujscie,Swinoujscie,,DISCHARGE,Europe/Warsaw,24,24,22.8,7,false,24,Poland,0.0,0.0,Location,Port,L_PL_Swino
Taichung,Taichung,,DISCHARGE,Asia/Taipei,24,24,22.8,7,false,24,Taiwan,0.0,0.0,Location,Port,L_TW_Taich
Tangguh,Tangguh,,LOAD,Asia/Jakarta,24,24,23.21,7,false,24,Indonesia,0.0,0.0,Location,Port,L_ID_Tangg
Teeside,Teeside,,DISCHARGE,Europe/London,24,24,22.8,7,false,24,United Kingdom,0.0,0.0,Location,Port,L_GB_Teesi
Tenerife,Tenerife,,DRYDOCK,Europe/Madrid,24,24,22.8,7,false,24,Canary Is.,0.0,0.0,Location,Port,L_YI_Tener
Tobata,Tobata,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Tobat
Tongyeong,Tongyeong,,"DISCHARGE,DRYDOCK",Asia/Seoul,24,24,22.8,7,false,24,South Korea,0.0,0.0,Location,Port,L_KR_TongY
Wilhelmshaven,Wilhelmshaven,,"DISCHARGE,DRYDOCK",Europe/Berlin,24,24,22.8,7,false,24,Germany,0.0,0.0,Location,Port,L_DE_Wilhe
Yanai,Yanai,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Yanai
Yokkaichi,Yokkaichi,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Yokka
Yokohama,Yokohama,,DISCHARGE,Asia/Tokyo,24,24,22.8,7,false,24,Japan,0.0,0.0,Location,Port,L_JP_Yokoh
Yung An,Yung An,,DISCHARGE,Asia/Taipei,24,24,22.8,7,false,24,Taiwan,0.0,0.0,Location,Port,L_TW_YungA
Zeebrugge,Zeebrugge,,"DISCHARGE,LOAD",Europe/Brussels,24,24,22.8,7,false,24,Belgium,0.0,0.0,Location,Port,L_BE_Zeebr
